BG1
Nehéznek éreztem az előző feladatot.
Folytonosnak, természetesnek éreztem az előző beszélgetést.
Megtaláltuk a közös hangot a társammal az előző feladat során.
Kedvelem a társamat.
Gyakran fordult elő, hogy nem értettem egyet a társammal az előző feladat során.
Úgy érzem, hogy összhangban voltunk a társammal az előző feladat során.
Én irányítottam a beszélgetést az előző feladat során.
Kellemes/élvezetes volt az előző feladat.
Meglepő volt a társam viselkedése az előző feladat során.
Mindig igazat mondtam az előző feladat során.
Úgy gondolom, hogy nekem volt nagyobb nyereségem az előző játékban.
Minden lehetőséget kihasználtunk a cserére a társammal.
A társam kiszámíthatóan játszotta a jatékot.
Követhető volt az instrukció a feladathoz. 
Furcsának/meglepőnek éreztem a feladatot.
